Endpoint:,postgres://127.0.0.1/test?sslmode=disable;binary_parameters=yes
Table:,worker
RecordLimit:,10000
Workers:,30
PaddingSize:,
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,4427,88.1,88.1
1.0,1.1,48,1.0,89.1
1.1,1.2,0,0.0,89.1
1.2,1.3,0,0.0,89.1
1.3,1.5,0,0.0,89.1
1.5,1.6,0,0.0,89.1
1.6,1.8,0,0.0,89.1
1.8,1.9,0,0.0,89.1
1.9,2.1,70,1.4,90.4
2.1,2.4,0,0.0,90.4
2.4,2.6,0,0.0,90.4
2.6,2.9,0,0.0,90.4
2.9,3.1,46,0.9,91.4
3.1,3.5,0,0.0,91.4
3.5,3.8,0,0.0,91.4
3.8,4.2,59,1.2,92.5
4.2,4.6,0,0.0,92.5
4.6,5.1,35,0.7,93.2
5.1,5.6,0,0.0,93.2
5.6,6.1,47,0.9,94.2
6.1,6.7,0,0.0,94.2
6.7,7.4,38,0.8,94.9
7.4,8.1,31,0.6,95.5
8.1,9.0,0,0.0,95.5
9.0,9.8,27,0.5,96.1
9.8,10.8,28,0.6,96.6
10.8,11.9,24,0.5,97.1
11.9,13.1,36,0.7,97.8
13.1,14.4,13,0.3,98.1
14.4,15.9,14,0.3,98.4
15.9,17.4,19,0.4,98.7
17.4,19.2,12,0.2,99.0
19.2,21.1,10,0.2,99.2
21.1,23.2,16,0.3,99.5
23.2,25.5,4,0.1,99.6
25.5,28.1,5,0.1,99.7
28.1,30.9,7,0.1,99.8
30.9,34.0,3,0.1,99.9
34.0,37.4,1,0.0,99.9
37.4,41.1,3,0.1,100.0
41.1,45.3,0,0.0,100.0
45.3,49.8,1,0.0,100.0
49.8,54.8,0,0.0,100.0
54.8,60.2,0,0.0,100.0
60.2,66.3,1,0.0,100.0
66.3,72.9,0,0.0,100.0
72.9,80.2,0,0.0,100.0
80.2,88.2,0,0.0,100.0
88.2,97.0,0,0.0,100.0
97.0,106.7,0,0.0,100.0
106.7,117.4,0,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,4828,96.5,96.5
1.0,1.1,25,0.5,97.0
1.1,1.2,0,0.0,97.0
1.2,1.3,0,0.0,97.0
1.3,1.5,0,0.0,97.0
1.5,1.6,0,0.0,97.0
1.6,1.8,0,0.0,97.0
1.8,1.9,0,0.0,97.0
1.9,2.1,20,0.4,97.4
2.1,2.4,0,0.0,97.4
2.4,2.6,0,0.0,97.4
2.6,2.9,0,0.0,97.4
2.9,3.1,15,0.3,97.7
3.1,3.5,0,0.0,97.7
3.5,3.8,0,0.0,97.7
3.8,4.2,16,0.3,98.0
4.2,4.6,0,0.0,98.0
4.6,5.1,20,0.4,98.4
5.1,5.6,0,0.0,98.4
5.6,6.1,8,0.2,98.5
6.1,6.7,0,0.0,98.5
6.7,7.4,10,0.2,98.7
7.4,8.1,10,0.2,98.9
8.1,9.0,0,0.0,98.9
9.0,9.8,7,0.1,99.1
9.8,10.8,7,0.1,99.2
10.8,11.9,6,0.1,99.3
11.9,13.1,8,0.2,99.5
13.1,14.4,5,0.1,99.6
14.4,15.9,2,0.0,99.6
15.9,17.4,6,0.1,99.8
17.4,19.2,2,0.0,99.8
19.2,21.1,3,0.1,99.9
21.1,23.2,1,0.0,99.9
23.2,25.5,2,0.0,99.9
25.5,28.1,1,0.0,99.9
28.1,30.9,0,0.0,99.9
30.9,34.0,1,0.0,100.0
34.0,37.4,1,0.0,100.0
37.4,41.1,0,0.0,100.0
41.1,45.3,1,0.0,100.0
45.3,49.8,0,0.0,100.0
49.8,54.8,0,0.0,100.0
54.8,60.2,0,0.0,100.0
60.2,66.3,0,0.0,100.0
66.3,72.9,0,0.0,100.0
72.9,80.2,0,0.0,100.0
80.2,88.2,0,0.0,100.0
88.2,97.0,0,0.0,100.0
97.0,106.7,0,0.0,100.0
106.7,117.4,0,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
